Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_1081360,A/shoveler/Yakutia/25/2020,EPI1848219,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081361,A/shoveler/Yakutia/65/2020,EPI1848227,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081362,A/common_Teal/Yakutia/128/2020,EPI1848235,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081363,A/common_Teal/Yakutia/57x/2020,EPI1848243,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081364,A/common_Teal/Yakutia/59x/2020,EPI1848251,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081365,A/common_Teal/Yakutia/60x/2020,EPI1848259,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081366,A/garganey/Yakutia/94/2020,EPI1848267,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081367,A/garganey/Yakutia/98/2020,EPI1848275,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_245774,A/swine/Kentucky/15TOSU1985/2015,EPI901189,,
EPI_ISL_245773,A/swine/Kentucky/15TOSU26096/2015,EPI901177,,
EPI_ISL_245772,A/swine/Kentucky/15TOSU2007/2015,EPI901385,,
EPI_ISL_376852,A/swine/North_Carolina/A02427880/2018,EPI1541682,,
EPI_ISL_245778,A/swine/Ohio/14TOSU22294/2014,EPI901242,,
EPI_ISL_294934,A/equine/Oregon/78356/2012,EPI1157878,,
EPI_ISL_294935,A/canine/Connecticut/85863/2011,EPI1157841,,
EPI_ISL_245776,A/swine/Kentucky/15TOSU1895/2015,EPI901277,,
EPI_ISL_245783,A/swine/Kentucky/15TOSU1974/2015,EPI901361,,
EPI_ISL_376851,A/swine/Utah/A02427845/2018,EPI1541680,,
EPI_ISL_245781,A/swine/Kentucky/15TOSU1903/2015,EPI901167,,
EPI_ISL_294940,A/canine/New_York/3699/2010,EPI1157865,,
EPI_ISL_245787,A/swine/Kentucky/15TOSU2017/2015,EPI901138,,
EPI_ISL_376860,A/swine/Iowa/A01785787/2018,EPI1541698,,
EPI_ISL_311325,A/swine/Ohio/OH-18-7965/2018,EPI1237383,,
EPI_ISL_294941,A/canine/Vermont/278213/2013,EPI1157894,,
