name,segments,type,host switch
TS_NODE_1376,['PA'],node,avian --> seal
TS_NODE_6096,['NP'],node,avian --> human
TS_NODE_3005,"['MP', 'NP', 'NS', 'PA', 'PB2']",node,human --> swine
TS_NODE_3035,['NS'],node,human --> swine
TS_NODE_3292,['NS'],node,human --> swine
TS_NODE_4651,['NA'],node,swine --> human
TS_NODE_3656,"['MP', 'NP', 'NS', 'PA', 'PB2']",node,human --> swine
TS_NODE_3921,"['MP', 'NA', 'NP', 'NS', 'PA', 'PB1', 'PB2']",node,human --> swine
TS_NODE_3864,"['MP', 'NA', 'NP', 'PB1']",node,swine --> avian
TS_NODE_4109,"['MP', 'NP', 'NS', 'PA', 'PB1', 'PB2']",node,human --> swine
TS_NODE_4192,"['MP', 'NP', 'NS', 'PA', 'PB1', 'PB2']",node,human --> swine
TS_NODE_4318,['NA'],node,human --> swine
TS_NODE_4467,['NA'],node,human --> swine
TS_NODE_4588,"['MP', 'NA', 'NP', 'NS', 'PA', 'PB2']",node,human --> swine
TS_NODE_4619,['NS'],node,human --> swine
TS_NODE_4665,"['MP', 'NP', 'PA', 'PB2']",node,human --> swine
TS_NODE_4724,"['PA', 'PB1', 'PB2']",node,human --> swine
TS_NODE_5555,"['MP', 'NA', 'NP', 'NS', 'PA', 'PB2']",node,human --> swine
TS_NODE_5601,"['MP', 'NA', 'NP', 'NS', 'PA', 'PB2']",node,human --> swine
TS_NODE_5661,"['NA', 'NS']",node,human --> swine
TS_NODE_6067,"['MP', 'PA', 'PB2']",node,human --> swine
