name,divergence,type
A/mallard_duck/ALB/26/1976|1976-08-11,548,between
NODE_0,577,between
A/duck/Minnesota/34/1976|1976-01-01,80,within
NODE_10,417,between
A/pintail_duck/ALB/462/1979|1979-08-10,580,between
A/blue-winged_teal/ALB/452/1983|1983-08-12,594,between
A/American_black_duck/New_Brunswick/03451/2009|2009-08-12,663,between
A/mallard_duck/ALB/712/1978|1978-08-15,668,between
NODE_29,234,between
A/blue-winged_teal/Alberta/134/1989|1989-08-22,374,between
A/mallard/Alberta/129/1991|1991-08-26,593,between
NODE_36,601,between
NODE_54,608,between
NODE_80,92,within
NODE_68,608,between
A/northern_pintail/Interior_Alaska/10BM06704R0/2010|2010-07-30,607,between
A/northern_pintail/Interior_Alaska/11ML00065/2011|2011-09-24,606,between
A/northern_pintail/Interior_Alaska/9BM11787R0/2009|2009-08-19,164,within
A/northern_pintail/Alaska/44183-067/2006|2006-08-09,25,within
NODE_120,618,between
A/mallard/Alaska/44421-148/2008|2008-10-13,614,between
A/mallard/Alberta/595/2017|2017-08-13,110,within
A/blue-winged_teal/Alberta/458/2017|2017-08-13,40,within
A/northern_pintail/Alaska/AK18-WB1-098A/2018|2018-10-01,609,between
A/northern_shoveler/Interior_Alaska/3/2007|2007-09-07,81,within
A/mallard/Interior_Alaska/7MP0510/2007|2007-09-07,614,between
NODE_164,590,between
A/northern_pintail/Alaska/44194-071/2006|2006-08-18,62,within
NODE_183,480,between
NODE_210,609,between
NODE_192,609,between
A/shorebird/Delaware_Bay/159/1999|1999-05-24,609,between
A/shorebird/Delaware_Bay/272/1999|1999-05-24,607,between
NODE_253,304,between
NODE_233,304,between
A/ruddy_turnstone/New_Jersey/1321403/2005|2005-05-22,609,between
NODE_235,306,between
NODE_251,305,between
NODE_244,607,between
NODE_242,612,between
A/semipalmated_sandpiper/Delaware_Bay/581/2005|2005-05-21,608,between
NODE_281,630,between
NODE_279,605,between
A/ruddy_turnstone/New_Jersey/Sg-00543/2008|2008-06-01,16,within
A/long-tailed_duck/Wisconsin/10OS3915/2010|2010-11-16,606,between
NODE_292,660,between
NODE_315,604,between
A/American_green-winged_teal/Ohio/13OS1861/2013|2013-09-08,107,within
NODE_338,611,between
A/mallard/Maine/UGAI15-7667/2015|2015-08-25,91,within
NODE_347,83,within
A/blue-winged_teal/Minnesota/UGAI15-4636/2015|2015-09-07,86,within
